CRIM,NOX,RM,RAD,PTRATIO,B,MEDV
5.82401,0.532,6.242,24.0,20.2,396.9,23.0
5.70818,0.532,6.75,24.0,20.2,393.07,23.7
5.73116,0.532,7.061,24.0,20.2,395.28,25.0
2.81838,0.532,5.762,24.0,20.2,392.92,21.8
2.37857,0.583,5.871,24.0,20.2,370.73,20.6
3.67367,0.583,6.312,24.0,20.2,388.62,21.2
5.69175,0.583,6.114,24.0,20.2,392.68,19.1
4.83567,0.583,5.905,24.0,20.2,388.22,20.6
0.15086,0.609,5.454,4.0,20.1,395.09,15.2
0.18337,0.609,5.414,4.0,20.1,344.05,7.0
0.20746,0.609,5.093,4.0,20.1,318.43,8.1
0.10574,0.609,5.983,4.0,20.1,390.11,13.6
0.11132,0.609,5.983,4.0,20.1,396.9,20.1
0.17331,0.585,5.707,6.0,19.2,396.9,21.8
0.27957,0.585,5.926,6.0,19.2,396.9,24.5
0.17899,0.585,5.67,6.0,19.2,393.29,23.1
0.2896,0.585,5.39,6.0,19.2,396.9,19.7
0.26838,0.585,5.794,6.0,19.2,396.9,18.3
0.23912,0.585,6.019,6.0,19.2,396.9,21.2
0.17783,0.585,5.569,6.0,19.2,395.77,17.5
0.22438,0.585,6.027,6.0,19.2,396.9,16.8
0.06263,0.573,6.593,1.0,21.0,391.99,22.4
0.04527,0.573,6.12,1.0,21.0,396.9,20.6
0.06076,0.573,6.976,1.0,21.0,396.9,23.9
0.10959,0.573,6.794,1.0,21.0,393.45,22.0
0.04741,0.573,6.03,1.0,21.0,396.9,11.9
